,STATEFIP,PUMA,PUMA_NAME
291,6,7111,San Bernardino County (Southwest)--Rancho Cucamonga City
292,6,7112,San Bernardino County (Southwest)--Upland & Montclair Cities
293,6,7113,San Bernardino County (Southwest)--Ontario City
294,6,7114,San Bernardino County (Southwest)--Chino & Chino Hills Cities
295,6,7115,San Bernardino County (Southwest)--Fontana City (West)
296,6,7301,San Diego County (Northwest)--Oceanside City & Camp Pendleton
297,6,7302,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center"
298,6,7303,San Diego County (Northwest)--Vista City
299,6,7304,San Diego County (Northwest)--Carlsbad City
300,6,7305,San Diego County (Northwest)--San Marcos & Escondido (West) Cities
301,6,7306,San Diego County (Northwest)--Escondido City (East)
302,6,7307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona"
303,6,7308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities
304,6,7309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities
305,6,7310,San Diego County (West)--San Diego City (Southwest/Central Coastal)
306,6,7311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa)
307,6,7312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights)
308,6,7313,San Diego County (Central)--El Cajon & Santee Cities
309,6,7314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities
310,6,7315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa)
311,6,7316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park)
312,6,7317,San Diego County (South Central)--San Diego City (Central/Mid-City)
313,6,7318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline)
314,6,7319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley"
315,6,7320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East)
316,6,7321,San Diego County (Southwest)--Chula Vista (West) & National City Cities
317,6,7322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay)
318,6,7501,San Francisco County (North & West)--Richmond District
319,6,7502,San Francisco County (North & East)--North Beach & Chinatown
320,6,7503,San Francisco County (Central)--South of Market & Potrero
321,6,7504,San Francisco County (Central)--Inner Mission & Castro
322,6,7505,San Francisco County (Central)--Sunset District (North)
323,6,7506,San Francisco County (South Central)--Sunset District (South)
324,6,7507,San Francisco County (South Central)--Bayview & Hunters Point
325,6,7701,San Joaquin County (Central)--Stockton City (North)
326,6,7702,San Joaquin County (Central)--Stockton City (South)
